scenario,experiment,Global_CCS_Cost,Colombia_Bldg_ShellApplianceEff,Colombia_Population,Colombia_Nuclear,Colombia_GDP,Global_RenewableElecTechCost,Colombia_RPS,Global_EV_Bus,Colombia_IndustrialEff
DDP_XL,307,w/o CCS,Low,Low,Zero,High,Low,Low,High,High
DDP_XL,308,w/o CCS,Low,Low,Zero,High,Low,High,Low,Low
DDP_XL,309,w/o CCS,Low,Low,Zero,High,Low,High,Low,High
DDP_XL,310,w/o CCS,Low,Low,Zero,High,Low,High,High,Low
DDP_XL,311,w/o CCS,Low,Low,Zero,High,Low,High,High,High
DDP_XL,312,w/o CCS,Low,Low,Zero,High,High,Low,Low,Low
DDP_XL,313,w/o CCS,Low,Low,Zero,High,High,Low,Low,High
DDP_XL,314,w/o CCS,Low,Low,Zero,High,High,Low,High,Low
DDP_XL,315,w/o CCS,Low,Low,Zero,High,High,Low,High,High
DDP_XL,316,w/o CCS,Low,Low,Zero,High,High,High,Low,Low
DDP_XL,317,w/o CCS,Low,Low,Zero,High,High,High,Low,High
DDP_XL,318,w/o CCS,Low,Low,Zero,High,High,High,High,Low
DDP_XL,319,w/o CCS,Low,Low,Zero,High,High,High,High,High
DDP_XL,320,w/o CCS,Low,High,Normal,Low,Low,Low,Low,Low
DDP_XL,321,w/o CCS,Low,High,Normal,Low,Low,Low,Low,High
DDP_XL,322,w/o CCS,Low,High,Normal,Low,Low,Low,High,Low
DDP_XL,323,w/o CCS,Low,High,Normal,Low,Low,Low,High,High
DDP_XL,324,w/o CCS,Low,High,Normal,Low,Low,High,Low,Low
DDP_XL,325,w/o CCS,Low,High,Normal,Low,Low,High,Low,High
DDP_XL,326,w/o CCS,Low,High,Normal,Low,Low,High,High,Low
DDP_XL,327,w/o CCS,Low,High,Normal,Low,Low,High,High,High
DDP_XL,328,w/o CCS,Low,High,Normal,Low,High,Low,Low,Low
DDP_XL,329,w/o CCS,Low,High,Normal,Low,High,Low,Low,High
DDP_XL,330,w/o CCS,Low,High,Normal,Low,High,Low,High,Low
DDP_XL,331,w/o CCS,Low,High,Normal,Low,High,Low,High,High
DDP_XL,332,w/o CCS,Low,High,Normal,Low,High,High,Low,Low
DDP_XL,333,w/o CCS,Low,High,Normal,Low,High,High,Low,High
DDP_XL,334,w/o CCS,Low,High,Normal,Low,High,High,High,Low
DDP_XL,335,w/o CCS,Low,High,Normal,Low,High,High,High,High
DDP_XL,336,w/o CCS,Low,High,Normal,High,Low,Low,Low,Low
DDP_XL,337,w/o CCS,Low,High,Normal,High,Low,Low,Low,High
DDP_XL,338,w/o CCS,Low,High,Normal,High,Low,Low,High,Low
DDP_XL,339,w/o CCS,Low,High,Normal,High,Low,Low,High,High
DDP_XL,340,w/o CCS,Low,High,Normal,High,Low,High,Low,Low
